school_year,dpi_true_id,school_name,agency_type,district_name,county,charter_indicator,choice_indicator,accurate_agency_type,broad_agency_type,MPCP_indicator,RPCP_indicator,WPCP_indicator,SNSP_indicator,MPCP_has_students,RPCP_has_students,WPCP_has_students,SNSP_has_students,locale_description,city,MPCP_percent,milwaukee_indicator
2017-18,3619_0296,Lad Lake Synergy School,Public school,Milwaukee,Milwaukee,0,0,Partnership,Independently Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2017-18,3619_1072,NOVA-Northwest Opportunities Vocational Academy,Public school,Milwaukee,Milwaukee,0,0,Partnership,Independently Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2017-18,3619_1074,Shalom High,Public school,Milwaukee,Milwaukee,0,0,Partnership,Independently Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2017-18,3619_1086,Southeastern,Public school,Milwaukee,Milwaukee,0,0,Partnership,Independently Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2017-18,3619_0398,Whittier Elementary,Public school,Milwaukee,Milwaukee,1,0,Instrumentality Charter,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2018-19,3619_0162,ALBA - Academia de Lenguaje y Bellas Artes,Public school,Milwaukee,Milwaukee,1,0,Instrumentality Charter,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2018-19,3619_0413,Alliance School of Milwaukee,Public school,Milwaukee,Milwaukee,1,0,Instrumentality Charter,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2018-19,3619_1063,ASSATA High,Public school,Milwaukee,Milwaukee,0,0,Partnership,Independently Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2018-19,3619_0432,Banner Preparatory School of Milwaukee,Public school,Milwaukee,Milwaukee,0,0,Partnership,Independently Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2018-19,3619_0410,Grandview High,Public school,Milwaukee,Milwaukee,0,0,Partnership,Independently Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2018-19,3619_0334,Honey Creek Elementary,Public school,Milwaukee,Milwaukee,1,0,Instrumentality Charter,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2018-19,3619_0165,IDEAL Individualized Developmental Educational Approaches to Learning,Public school,Milwaukee,Milwaukee,1,0,Instrumentality Charter,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2018-19,3619_0296,Lad Lake Synergy School,Public school,Milwaukee,Milwaukee,0,0,Partnership,Independently Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2018-19,3619_1072,NOVA-Northwest Opportunities Vocational Academy,Public school,Milwaukee,Milwaukee,0,0,Partnership,Independently Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2018-19,3619_1074,Shalom High,Public school,Milwaukee,Milwaukee,0,0,Partnership,Independently Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2018-19,3619_1086,Southeastern,Public school,Milwaukee,Milwaukee,0,0,Partnership,Independently Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2018-19,3619_0398,Whittier Elementary,Public school,Milwaukee,Milwaukee,1,0,Instrumentality Charter,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,8123_0100,Bruce Guadalupe,Non District Charter Schools,Bruce Guadalupe,Milwaukee,1,0,2r/2x Charter,Independently Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,8114_0100,Capitol West Academy,Non District Charter Schools,Capitol West Academy,Milwaukee,1,0,2r/2x Charter,Independently Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,8105_1211,Central City Cyberschool,Non District Charter Schools,Central City Cyberschool,Milwaukee,1,0,2r/2x Charter,Independently Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,8109_0100,DLH Academy,Non District Charter Schools,DLH Academy,Milwaukee,1,0,2r/2x Charter,Independently Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,8101_1056,Downtown Montessori,Non District Charter Schools,Downtown Montessori,Milwaukee,1,0,2r/2x Charter,Independently Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,8131_0400,Escuela Verde,Non District Charter Schools,Escuela Verde,Milwaukee,1,0,2r/2x Charter,Independently Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,8126_0100,King's Academy,Non District Charter Schools,King's Academy,Milwaukee,1,0,2r/2x Charter,Independently Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0316,Academy of Accelerated Learning,Public school,Milwaukee,Milwaukee,0,0,Traditional Public,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0075,Alcott Elementary,Public school,Milwaukee,Milwaukee,0,0,Traditional Public,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0073,Allen-Field Elementary,Public school,Milwaukee,Milwaukee,0,0,Traditional Public,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0434,Audubon Technology and Communication High School,Public school,Milwaukee,Milwaukee,0,0,Traditional Public,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0041,Audubon Technology and Communication Middle School,Public school,Milwaukee,Milwaukee,0,0,Traditional Public,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0077,Auer Avenue Elementary,Public school,Milwaukee,Milwaukee,0,0,Traditional Public,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0188,Barbee Elementary,Public school,Milwaukee,Milwaukee,0,0,Traditional Public,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0081,Barton Elementary,Public school,Milwaukee,Milwaukee,0,0,Traditional Public,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0012,Bay View High,Public school,Milwaukee,Milwaukee,0,0,Traditional Public,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0356,Bethune Academy,Public school,Milwaukee,Milwaukee,0,0,Traditional Public,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0014,Bradley Technology High,Public school,Milwaukee,Milwaukee,0,0,Traditional Public,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0089,Brown Street Academy,Public school,Milwaukee,Milwaukee,0,0,Traditional Public,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0092,Browning Elementary,Public school,Milwaukee,Milwaukee,0,0,Traditional Public,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0093,Bruce Elementary,Public school,Milwaukee,Milwaukee,0,0,Traditional Public,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0094,Bryant Elementary,Public school,Milwaukee,Milwaukee,0,0,Traditional Public,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0095,Burbank Elementary,Public school,Milwaukee,Milwaukee,0,0,Traditional Public,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
