school_year,dpi_true_id,school_name,accurate_agency_type,broad_agency_type,overall_score,overall_rating,lowest_grade,highest_grade,grade_band,school_type,school_enrollment,district_enrollment,per_am_in,per_asian,per_b_aa,per_hisp_lat,per_nh_opi,per_white,per_tom,per_swd,per_ed,per_lep,per_choice,per_open,sch_ach,sch_ela_ach,sch_math_ach,sch_growth,sch_ela_growth,sch_math_growth,sch_cg,sch_ela_cg,sch_math_cg,sch_4y_grad_gap,sch_6y_grad_gap,sch_grad_gap,sch_ot,sch_grad_rate,sch_att_rate,sch_3rd_ela,sch_8th_math,ach_weight,growth_weight,cg_weight,ot_weight,report_card_type,cg_redacted,has_2_rc
2018-19,8136_8136,Stellar Collegiate Charter School,2r/2x Charter,Independently Operated,NA,Alternate Rating - Needs Improvement,K4,5,K-5,Elementary School,148,148,0,0.01,0.22,0.71,0,0.05,0.01,0.16,0.82,0.46,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Public - All Students,0,0
2018-19,8137_8137,United Community Center Acosta Middle School,2r/2x Charter,Independently Operated,82,Exceeds Expectations^,6,8,6-8,Middle School,168,168,0,0,0.02,0.97,0,0.01,0,0.07,0.83,0.27,NA,0,50.4,27.9,22.5,81.3,43.5,37.8,88,39.4,48.6,NA,NA,NA,83.4,NA,74.9,NA,8.5,0.05,0.45,0.25,0.25,Public - All Students,0,0
2018-19,8113_8728,Woodlands School,2r/2x Charter,Independently Operated,79.8,Exceeds Expectations,K4,8,K-8,Elementary School,352,352,0.01,0.04,0.23,0.12,0,0.5,0.1,0.09,0.22,0,NA,0,72.8,39.8,33,85,46.3,38.7,75.6,39.1,36.5,NA,NA,NA,90.1,NA,76.7,6.7,6.7,0.339,0.161,0.25,0.25,Public - All Students,0,0
2018-19,8132_0100,Woodlands School - State Street Campus,2r/2x Charter,Independently Operated,84.3,Significantly Exceeds Expectations,K4,8,K-8,Elementary School,312,312,0.01,0.03,0.59,0.11,0,0.12,0.14,0.11,0.59,0.01,NA,0,38.4,22.2,16.2,93.5,50,43.5,86.5,44.6,41.9,NA,NA,NA,82.9,NA,75.2,7.7,NA,0.088,0.412,0.25,0.25,Public - All Students,0,0
2015-16,3619_1141,Next Door Charter,Non-Instrumentality Charter,Independently Operated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-16,3619_0149,Starms Early Childhood,Traditional Public,District Operated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-17,3619_1141,Next Door Charter,Non-Instrumentality Charter,Independently Operated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-17,3619_0149,Starms Early Childhood,Traditional Public,District Operated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-18,3619_0115,Lee Learning Center,Traditional Public,District Operated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-18,3619_1141,Next Door Charter,Non-Instrumentality Charter,Independently Operated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
