school_year,dpi_true_id,school_name,accurate_agency_type,total_enrollment
2015-16,3619_0238,LaFollette Elementary,Traditional Public,223
2015-16,3619_0241,Lancaster Elementary,Traditional Public,258
2015-16,3619_0250,Lincoln Avenue Elementary,Traditional Public,551
2015-16,3619_0006,Lincoln Middle School,Traditional Public,684
2015-16,3619_0256,Longfellow Elementary,Traditional Public,912
2015-16,3619_0257,Lowell Elementary,Traditional Public,255
2015-16,3619_0870,MacDowell Montessori School K3-12,Traditional Public,694
2015-16,3619_0265,Manitoba Elementary,Traditional Public,505
2015-16,3619_0267,Maple Tree Elementary,Traditional Public,296
2015-16,3619_0268,Maryland Montessori,Traditional Public,401
2015-16,3619_0176,Meir School,Traditional Public,885
2015-16,3619_0525,Metcalfe Elementary,Traditional Public,302
2015-16,3619_0103,Milwaukee Academy of Chinese Language,Traditional Public,444
2015-16,3619_0111,Milwaukee College Preparatory School -- 38th Street,Non-Instrumentality Charter,521
2015-16,3619_0145,Milwaukee College Preparatory School -- Lloyd Street,Non-Instrumentality Charter,499
2015-16,3619_0441,Milwaukee Community Cyber High,Non-Instrumentality Charter,169
2015-16,3619_0315,Milwaukee County Youth Education Center,Traditional Public,23
2015-16,3619_0118,Milwaukee Environmental Science Academy,Non-Instrumentality Charter,310
2015-16,3619_0140,Milwaukee French Immersion,Traditional Public,537
2015-16,3619_0146,Milwaukee German Immersion,Traditional Public,617
2015-16,3619_0038,Milwaukee High School of the Arts,Traditional Public,914
2015-16,3619_0362,Milwaukee Parkside School,Traditional Public,768
2015-16,3619_0071,Milwaukee School of Languages,Traditional Public,1202
2015-16,3619_0226,Milwaukee Sign Language Elementary,Traditional Public,535
2015-16,3619_0167,Milwaukee Spanish Immersion,Traditional Public,574
2015-16,3619_0274,Mitchell Elementary,Traditional Public,766
2015-16,3619_0277,Morgandale Elementary,Traditional Public,576
2015-16,3619_0052,Morse Marshall,Traditional Public,1136
2015-16,3619_0283,Neeskara Elementary,Traditional Public,370
2015-16,3619_0027,New School for Community Service,Traditional Public,168
2015-16,3619_1141,Next Door Charter,Non-Instrumentality Charter,182
2015-16,3619_0289,Ninety-Fifth Street Elementary,Traditional Public,393
2015-16,3619_0419,North Division High 0419,Traditional Public,490
2015-16,3619_1072,NOVA,Partnership,107
2015-16,3619_0474,NOVA Tech,Non-Instrumentality Charter,99
2015-16,3619_0840,Obama School of Career and Technical Education,Traditional Public,688
2015-16,3619_0301,Parkview Elementary,Traditional Public,432
2015-16,3619_0307,Pierce Elementary,Traditional Public,434
