school_year,dpi_true_id,school_name,accurate_agency_type,total_enrollment
2015-16,0000_8224,Saint Joseph Academy,Private,389
2015-16,0000_8720,Wisconsin Lutheran High,Private,768
2015-16,0000_8740,Yeshiva Elementary School,Private,189
2016-17,0000_0309,Catholic East Elementary,Private,269
2016-17,0000_0320,Word of Life Lutheran School,Private,77
2016-17,0000_0510,Divine Savior Holy Angels Hi,Private,694
2016-17,0000_0740,Garden Homes Lutheran School,Private,253
2016-17,0000_1044,Clara Mohammed School,Private,209
2016-17,0000_1048,Tamarack Waldorf School,Private,302
2016-17,0000_1095,Notre Dame School of Milwaukee,Private,419
2016-17,0000_1101,Hickman Academy Prep Sch,Private,276
2016-17,0000_1158,Early View Acad of Excellence,Private,273
2016-17,0000_1165,Granville Lutheran School,Private,244
2016-17,0000_1167,Sherman Park Lutheran Sch,Private,249
2016-17,0000_1171,Texas Bufkin Christian Acad,Private,72
2016-17,0000_1180,Holy Redeemer Christian Acad,Private,432
2016-17,0000_1200,Saint Rafael the Archangel,Private,382
2016-17,0000_1205,Prince of Peace School,Private,461
2016-17,0000_1218,Eastbrook Academy,Private,383
2016-17,0000_1221,King's Academy Christian Sch,Private,202
2016-17,0000_1253,Victory Christian Academy,Private,188
2016-17,0000_1263,Atlas Preparatory Academy,Private,693
2016-17,0000_1301,Atonement Lutheran School,Private,315
2016-17,0000_1302,Saint Philips Lutheran School,Private,136
2016-17,0000_1303,Believers in Christ Acad,Private,254
2016-17,0000_1304,Blessed Sacrament Grade Sch,Private,184
2016-17,0000_1305,Christ-St Peter Lutheran Sch,Private,233
2016-17,0000_1315,Hope Christian School: Prima,Private,572
2016-17,0000_1327,New Testament Christian Acad,Private,42
2016-17,0000_1345,Greater Holy Temple Chr Acad,Private,693
2016-17,0000_1351,Risen Savior Evan Luth Sch,Private,240
2016-17,0000_1374,Malaika Early Learning Center,Private,94
2016-17,0000_1382,Carter's Christian Academy,Private,285
2016-17,0000_1384,Christian Faith Acad Hi Lrng,Private,106
2016-17,0000_1408,Hope Christian High School,Private,305
2016-17,0000_1439,Hope Christian School: Fortis,Private,490
2016-17,0000_1489,Cross Trainers Academy,Private,263
2016-17,0000_1491,Destiny High School,Private,286
2016-17,0000_1507,Blessed Savior Catholic Sch,Private,587
2016-17,0000_1527,Inst of Technology & Academics,Private,263
2016-17,0000_1530,Right Step Inc,Private,135
2016-17,0000_1558,Calvary's Chrstn Acad Sch Arts,Private,61
2016-17,0000_1575,Northwest Catholic,Private,226
2016-17,0000_1606,Messmer Catholic Schools,Private,1660
2016-17,0000_1627,Wells Street Academy,Private,17
2016-17,0000_1631,TransCenter for Youth/ElPuente,Private,100
2016-17,0000_1652,Academy of Excellence,Private,817
2016-17,0000_1656,Hope Christian School: Semper,Private,384
2016-17,0000_1684,Jo's Learning Academy,Private,55
2016-17,0000_1685,Lutheran Special School,Private,45
2016-17,0000_1686,United to Serve Academy,Private,402
2016-17,0000_1701,A Promise of Hope Academy,Private,64
2016-17,0000_1702,Divine Destiny School,Private,153
2016-17,0000_1703,Hope Christian School: Caritas,Private,238
2016-17,0000_1704,Shining Star Christian Schools,Private,223
2016-17,0000_1712,Cristo Rey Jesuit Milwaukee Hi,Private,234
2016-17,0000_1729,Hope Christian School: Fidelis,Private,196
2016-17,0000_1770,Marquette University High,Private,1053
2016-17,0000_1870,Milwaukee Lutheran High,Private,750
2016-17,0000_1873,Milw Seventh Day Adventist Sch,Private,205
2016-17,0000_1910,Mother of Good Counsel Gr Sch,Private,236
2016-17,0000_1930,Mount Calvary Lutheran Gr Sch,Private,189
2016-17,0000_1980,Mount Lebanon Lutheran School,Private,222
2016-17,0000_1990,Mount Olive Lutheran Grade Sch,Private,183
2016-17,0000_1996,Nativity Jesuit Middle School,Private,195
2016-17,0000_2030,Northwest Lutheran Grade Sch,Private,244
2016-17,0000_2240,Our Lady Queen of Peace Gr Sch,Private,165
2016-17,0000_2291,Pilgrim Lutheran School,Private,243
2016-17,0000_2300,Pius XI Catholic High School,Private,806
2016-17,0000_2750,Saint Adalbert Grade School,Private,473
2016-17,0000_2850,Holy Wisdom Academy,Private,246
2016-17,0000_3100,Saint Anthony School,Private,1943
2016-17,0000_3160,Saint Vincent Pallotti School,Private,201
2016-17,0000_3410,Saint Catherine School,Private,178
2016-17,0000_3455,Saint Charles Borromeo School,Private,219
2016-17,0000_3580,Saint Coletta Day Sch of Milw,Private,24
2016-17,0000_3935,Saint Gregory the Great Gr Sch,Private,263
2016-17,0000_4210,Saint Joan Antida High School,Private,144
2016-17,0000_4420,Saint John Kanty Grade School,Private,190
2016-17,0000_4655,Saint Johns Evang Lutheran Sch,Private,210
2016-17,0000_4950,Saint Josaphat Parish School,Private,248
2016-17,0000_5640,Saint Lucas Lutheran School,Private,208
2016-17,0000_5710,Saint Marcus Lutheran School,Private,817
2016-17,0000_5720,Saint Margaret Mary Grade Sch,Private,259
2016-17,0000_5830,Saint Martini Lutheran Gr Sch,Private,253
2016-17,0000_6690,Saint Matthias School,Private,260
2016-17,0000_7400,Saint Peter Immanuel Luth Sch,Private,176
2016-17,0000_7670,Saint Roman Grade School,Private,290
2016-17,0000_7720,Saint Sebastian Grade School,Private,321
2016-17,0000_7980,Saint Thomas Aquinas Academy,Private,223
2016-17,0000_8075,Salam School,Private,761
2016-17,0000_8080,Salem Lutheran School,Private,142
2016-17,0000_8190,Sharon Junior Academy,Private,6
2016-17,0000_8217,Siloah Lutheran School,Private,184
2016-17,0000_8224,Saint Joseph Academy,Private,455
2016-17,0000_8720,Wisconsin Lutheran High School,Private,779
2016-17,0000_8740,Yeshiva Elementary School,Private,212
2017-18,0000_0309,Catholic East Elementary,Private,271
2017-18,0000_0320,Word of Life Lutheran School,Private,73
2017-18,0000_0510,Divine Savior Holy Angels Hi,Private,687
2017-18,0000_0740,Garden Homes Lutheran School,Private,253
2017-18,0000_1044,Clara Mohammed School,Private,203
2017-18,0000_1048,Tamarack Waldorf School,Private,306
2017-18,0000_1095,Notre Dame Sch of Milwaukee,Private,446
2017-18,0000_1101,Hickman Acad Prep Sch,Private,264
2017-18,0000_1158,Early View Acad of Excellence,Private,268
2017-18,0000_1165,Granville Lutheran School,Private,249
2017-18,0000_1167,Sherman Park Lutheran Sch,Private,211
2017-18,0000_1171,Texas Bufkin Christian Acad,Private,22
2017-18,0000_1180,Holy Redeemer Christian Acad,Private,380
2017-18,0000_1200,Saint Rafael the Archangel,Private,352
2017-18,0000_1205,Prince of Peace School,Private,448
2017-18,0000_1218,Eastbrook Academy,Private,341
2017-18,0000_1221,King's Academy Christian Sch,Private,201
2017-18,0000_1253,Victory Christian Academy,Private,225
2017-18,0000_1263,Atlas Preparatory Academy,Private,719
2017-18,0000_1301,Atonement Lutheran School,Private,323
2017-18,0000_1302,Saint Philips Lutheran School,Private,143
2017-18,0000_1303,Believers in Christ Acad,Private,219
2017-18,0000_1304,Blessed Sacrament Grade Sch,Private,179
2017-18,0000_1305,Christ-St Peter Lutheran Sch,Private,218
2017-18,0000_1315,Hope Christian School: Prima,Private,568
2017-18,0000_1327,New Testament Christian Acad,Private,153
2017-18,0000_1345,Greater Holy Temple Chr Acad,Private,628
2017-18,0000_1351,Risen Savior Evan Luth Sch,Private,225
2017-18,0000_1374,Malaika Early Learning Center,Private,110
2017-18,0000_1382,Carter's Christian Academy,Private,375
2017-18,0000_1384,Christian Faith Acad Hi Lrng,Private,85
2017-18,0000_1408,Hope Christian High,Private,271
2017-18,0000_1439,Hope Christian School: Fortis,Private,505
2017-18,0000_1489,Cross Trainers Academy,Private,284
2017-18,0000_1491,Destiny High,Private,279
2017-18,0000_1507,Blessed Savior Catholic Sch,Private,558
2017-18,0000_1527,Inst of Technology & Academics,Private,268
2017-18,0000_1530,Right Step Inc,Private,116
2017-18,0000_1558,Calvary's Chrstn Acad Sch Arts,Private,0
2017-18,0000_1575,Northwest Catholic,Private,213
2017-18,0000_1606,Messmer Catholic Schools,Private,1633
2017-18,0000_1627,Wells Street Academy,Private,19
2017-18,0000_1631,TransCenter for Youth/ElPuente,Private,118
2017-18,0000_1652,Academy of Excellence,Private,814
2017-18,0000_1656,Hope Christian School: Semper,Private,408
2017-18,0000_1684,Jo's Learning Academy,Private,47
2017-18,0000_1702,Divine Destiny School,Private,143
2017-18,0000_1703,Hope Christian Sch: Caritas,Private,334
2017-18,0000_1704,Shining Star Christian Schools,Private,299
2017-18,0000_1712,Cristo Rey Jesuit Milwaukee Hi,Private,325
2017-18,0000_1729,Hope Christian Sch: Fidelis,Private,329
2017-18,0000_1745,Saint Augustine Preparatory Ac,Private,597
2017-18,0000_1770,Marquette University High,Private,1028
2017-18,0000_1870,Milwaukee Lutheran High,Private,800
2017-18,0000_1873,Milw Seventh Day Adventist Sch,Private,216
2017-18,0000_1910,Mother of Good Counsel Gr Sch,Private,235
2017-18,0000_1930,Mount Calvary Lutheran Gr Sch,Private,185
2017-18,0000_1980,Mount Lebanon Lutheran School,Private,233
2017-18,0000_1990,Mount Olive Lutheran Grade Sch,Private,178
2017-18,0000_1996,Nativity Jesuit Academy,Private,232
2017-18,0000_2030,Northwest Lutheran Grade Sch,Private,230
2017-18,0000_2240,Our Lady Queen of Peace Gr Sch,Private,158
2017-18,0000_2291,Pilgrim Lutheran School,Private,198
2017-18,0000_2300,Pius XI Catholic High,Private,800
2017-18,0000_2750,Saint Adalbert Grade School,Private,447
2017-18,0000_2850,Holy Wisdom Academy,Private,235
2017-18,0000_3100,Saint Anthony School,Private,1770
2017-18,0000_3160,Saint Vincent Pallotti School,Private,201
2017-18,0000_3410,Saint Catherine School,Private,190
2017-18,0000_3455,Saint Charles Borromeo School,Private,229
2017-18,0000_3580,Saint Coletta Day Sch of Milw,Private,26
2017-18,0000_3935,Saint Gregory the Great Gr Sch,Private,256
2017-18,0000_4210,Saint Joan Antida High,Private,142
2017-18,0000_4420,Saint John Kanty Grade School,Private,166
2017-18,0000_4655,Saint Johns Evang Lutheran Sch,Private,244
2017-18,0000_4950,Saint Josaphat Parish School,Private,232
2017-18,0000_5640,Saint Lucas Lutheran School,Private,205
2017-18,0000_5710,Saint Marcus Lutheran School,Private,911
2017-18,0000_5720,Saint Margaret Mary Grade Sch,Private,221
2017-18,0000_5830,Saint Martini Lutheran Gr Sch,Private,229
2017-18,0000_6690,Saint Matthias School,Private,273
2017-18,0000_7400,Saint Peter Immanuel Luth Sch,Private,146
2017-18,0000_7670,Saint Roman Grade School,Private,277
2017-18,0000_7720,Saint Sebastian Grade School,Private,331
2017-18,0000_7980,Saint Thomas Aquinas Academy,Private,222
2017-18,0000_8075,Salam School,Private,823
2017-18,0000_8080,Salem Lutheran School,Private,161
2017-18,0000_8190,Sharon Junior Academy,Private,27
2017-18,0000_8217,Siloah Lutheran School,Private,168
2017-18,0000_8224,Saint Joseph Academy,Private,469
2017-18,0000_8720,Wisconsin Lutheran High,Private,773
2017-18,0000_8740,Yeshiva Elementary,Private,215
2018-19,0000_0309,Catholic East Elementary,Private,269
2018-19,0000_0320,Word of Life Lutheran School,Private,82
2018-19,0000_0510,Divine Savior Holy Angels Hi,Private,694
2018-19,0000_0740,Garden Homes Lutheran School,Private,269
2018-19,0000_1044,Clara Mohammed School,Private,206
2018-19,0000_1048,Tamarack Waldorf School,Private,297
2018-19,0000_1095,Notre Dame Sch of Milwaukee,Private,510
2018-19,0000_1158,Early View Acad of Excellence,Private,332
2018-19,0000_1165,Granville Lutheran School,Private,269
2018-19,0000_1180,Holy Redeemer Christian Acad,Private,474
2018-19,0000_1200,Saint Rafael the Archangel,Private,319
2018-19,0000_1205,Prince of Peace School,Private,447
2018-19,0000_1218,Eastbrook Academy,Private,342
2018-19,0000_1221,King's Academy Christian Sch,Private,210
2018-19,0000_1253,Victory Christian Academy,Private,224
2018-19,0000_1263,Atlas Preparatory Academy,Private,703
2018-19,0000_1301,Atonement Lutheran School,Private,371
2018-19,0000_1302,Saint Philips Lutheran School,Private,154
2018-19,0000_1303,Believers in Christ Acad,Private,216
2018-19,0000_1304,Blessed Sacrament Grade Sch,Private,181
2018-19,0000_1305,Christ-St Peter Lutheran Sch,Private,206
2018-19,0000_1315,Hope Christian School: Prima,Private,576
2018-19,0000_1327,New Testament Christian Acad,Private,171
2018-19,0000_1345,Greater Holy Temple Chr Acad,Private,618
2018-19,0000_1351,Risen Savior Evan Luth Sch,Private,234
2018-19,0000_1374,Malaika Early Learning Center,Private,89
2018-19,0000_1382,Carter's Christian Academy,Private,275
2018-19,0000_1384,Christian Faith Acad Hi Lrng,Private,58
2018-19,0000_1408,Hope Christian High,Private,278
2018-19,0000_1439,Hope Christian School: Fortis,Private,507
2018-19,0000_1489,Cross Trainers Academy,Private,344
2018-19,0000_1491,Destiny High,Private,256
2018-19,0000_1507,Blessed Savior Catholic Sch,Private,506
2018-19,0000_1527,Inst of Technology & Academics,Private,320
2018-19,0000_1530,Right Step Inc,Private,99
2018-19,0000_1575,Northwest Catholic,Private,200
2018-19,0000_1606,Messmer Catholic Schools,Private,1530
2018-19,0000_1627,Wells Street Academy,Private,18
2018-19,0000_1631,TransCenter for Youth/ElPuente,Private,112
2018-19,0000_1652,Academy of Excellence,Private,885
2018-19,0000_1656,Hope Christian School: Semper,Private,391
2018-19,0000_1684,Jo's Learning Academy,Private,50
2018-19,0000_1702,Divine Destiny School,Private,153
2018-19,0000_1703,Hope Christian Sch: Caritas,Private,434
2018-19,0000_1704,Shining Star Christian Schools,Private,390
2018-19,0000_1712,Cristo Rey Jesuit Milwaukee Hi,Private,392
2018-19,0000_1729,Hope Christian Sch: Fidelis,Private,408
2018-19,0000_1743,CERT School,Private,14
2018-19,0000_1745,Saint Augustine Preparatory Ac,Private,892
2018-19,0000_1770,Marquette University High,Private,981
2018-19,0000_1774,Kingdom Prep Lutheran Hi,Private,53
2018-19,0000_1776,City School,Private,157
2018-19,0000_1870,Milwaukee Lutheran High,Private,820
2018-19,0000_1873,Milw Seventh Day Adventist Sch,Private,193
2018-19,0000_1910,Mother of Good Counsel Gr Sch,Private,242
2018-19,0000_1930,Mount Calvary Lutheran Gr Sch,Private,194
2018-19,0000_1980,Mount Lebanon Lutheran School,Private,242
2018-19,0000_1990,Mount Olive Lutheran Grade Sch,Private,173
2018-19,0000_1996,Nativity Jesuit Academy,Private,255
2018-19,0000_2030,Northwest Lutheran Grade Sch,Private,233
2018-19,0000_2240,Our Lady Queen of Peace Gr Sch,Private,163
2018-19,0000_2291,Pilgrim Lutheran School,Private,221
2018-19,0000_2300,Pius XI Catholic High,Private,758
2018-19,0000_2750,Saint Adalbert Catholic Sch,Private,408
2018-19,0000_2850,Holy Wisdom Academy,Private,238
2018-19,0000_3100,Saint Anthony School,Private,1747
2018-19,0000_3160,Saint Vincent Pallotti School,Private,187
2018-19,0000_3410,Saint Catherine School,Private,152
2018-19,0000_3455,Saint Charles Borromeo Cath,Private,219
2018-19,0000_3580,Saint Coletta Day Sch of Milw,Private,30
2018-19,0000_3935,Saint Gregory the Great Parish,Private,248
2018-19,0000_4210,Saint Joan Antida High,Private,163
2018-19,0000_4420,Saint John Kanty School,Private,126
2018-19,0000_4655,Saint Johns Evang Lutheran Sch,Private,259
2018-19,0000_4950,Saint Josaphat Parish School,Private,214
2018-19,0000_5640,Saint Lucas Lutheran School,Private,204
2018-19,0000_5710,Saint Marcus Lutheran School,Private,890
2018-19,0000_5720,Saint Margaret Mary Grade Sch,Private,175
2018-19,0000_5830,Saint Martini Lutheran Gr Sch,Private,182
2018-19,0000_6690,Saint Matthias School,Private,242
2018-19,0000_7400,Saint Peter Immanuel Luth Sch,Private,120
2018-19,0000_7670,Saint Roman Grade School,Private,295
2018-19,0000_7720,Saint Sebastian Grade School,Private,327
2018-19,0000_7980,Saint Thomas Aquinas Academy,Private,227
2018-19,0000_8075,Salam School,Private,828
2018-19,0000_8080,Salem Lutheran School,Private,162
2018-19,0000_8190,Sharon Junior Academy,Private,22
2018-19,0000_8217,Siloah Lutheran School,Private,113
2018-19,0000_8224,Saint Joseph Academy,Private,469
2018-19,0000_8379,Torah Academy of Milwaukee,Private,33
2018-19,0000_8720,Wisconsin Lutheran High,Private,772
2018-19,0000_8740,Yeshiva Elementary,Private,214
2019-20,0000_0309,Catholic East Elementary,Private,257
2019-20,0000_0320,Word of Life Lutheran School,Private,75
2019-20,0000_0510,Divine Savior Holy Angels Hi,Private,696
2019-20,0000_0740,Garden Homes Lutheran School,Private,282
2019-20,0000_1044,Clara Mohammed School,Private,200
2019-20,0000_1048,Tamarack Waldorf School,Private,244
2019-20,0000_1095,Notre Dame Sch of Milwaukee,Private,531
2019-20,0000_1158,Early View Acad of Excellence,Private,332
2019-20,0000_1165,Granville Lutheran School,Private,268
2019-20,0000_1180,Holy Redeemer Christian Acad,Private,345
2019-20,0000_1200,Saint Rafael the Archangel,Private,350
2019-20,0000_1205,Prince of Peace School,Private,414
2019-20,0000_1218,Eastbrook Academy,Private,330
2019-20,0000_1221,King's Academy Christian Sch,Private,204
2019-20,0000_1253,Victory Christian Academy,Private,224
2019-20,0000_1263,Atlas Preparatory Academy,Private,607
2019-20,0000_1301,Atonement Lutheran School,Private,403
2019-20,0000_1302,Saint Philips Lutheran School,Private,149
2019-20,0000_1303,Believers in Christ Acad,Private,230
2019-20,0000_1304,Blessed Sacrament Grade Sch,Private,165
2019-20,0000_1305,Christ-St Peter Lutheran Sch,Private,221
2019-20,0000_1315,Hope Christian School: Prima,Private,573
2019-20,0000_1327,New Testament Christian Acad,Private,181
2019-20,0000_1345,Greater Holy Temple Chr Acad,Private,567
2019-20,0000_1351,Risen Savior Evan Luth Sch,Private,241
2019-20,0000_1374,Malaika Early Learning Center,Private,98
2019-20,0000_1382,Carter's Christian Academy,Private,350
2019-20,0000_1384,Christian Faith Acad Hi Lrng,Private,69
2019-20,0000_1408,Hope Christian High,Private,261
2019-20,0000_1439,Hope Christian School: Fortis,Private,495
2019-20,0000_1489,Cross Trainers Academy,Private,367
2019-20,0000_1491,Destiny High,Private,254
2019-20,0000_1507,Blessed Savior Catholic Sch,Private,502
2019-20,0000_1527,Inst of Technology & Academics,Private,316
2019-20,0000_1530,Right Step Inc,Private,78
2019-20,0000_1575,Northwest Catholic,Private,171
2019-20,0000_1606,Messmer Catholic Schools,Private,1354
2019-20,0000_1627,Wells Street Academy,Private,22
2019-20,0000_1631,TransCenter for Youth/ElPuente,Private,112
2019-20,0000_1652,Academy of Excellence,Private,873
2019-20,0000_1656,Hope Christian School: Semper,Private,422
2019-20,0000_1684,Jo's Learning Academy,Private,40
2019-20,0000_1702,Divine Destiny School,Private,125
2019-20,0000_1703,Hope Christian Sch: Caritas,Private,493
2019-20,0000_1704,Shining Star Christian Schools,Private,430
2019-20,0000_1712,Cristo Rey Jesuit Milwaukee Hi,Private,398
2019-20,0000_1729,Hope Christian Sch: Fidelis,Private,484
2019-20,0000_1743,CERT School,Private,23
2019-20,0000_1745,Saint Augustine Preparatory Ac,Private,1307
2019-20,0000_1770,Marquette University High,Private,956
2019-20,0000_1774,Kingdom Prep Lutheran Hi,Private,102
2019-20,0000_1776,City School,Private,160
2019-20,0000_1870,Milwaukee Lutheran High,Private,845
2019-20,0000_1873,Milw Seventh Day Adventist Sch,Private,203
2019-20,0000_1910,Mother of Good Counsel Gr Sch,Private,231
2019-20,0000_1930,Mount Calvary Lutheran Gr Sch,Private,186
2019-20,0000_1980,Mount Lebanon Lutheran School,Private,242
2019-20,0000_1990,Mount Olive Lutheran Grade Sch,Private,170
2019-20,0000_1996,Nativity Jesuit Academy,Private,252
2019-20,0000_2030,Northwest Lutheran Grade Sch,Private,242
2019-20,0000_2240,Our Lady Queen of Peace Gr Sch,Private,152
2019-20,0000_2291,Pilgrim Lutheran School,Private,238
2019-20,0000_2300,Pius XI Catholic High,Private,737
2019-20,0000_2750,Saint Adalbert Catholic Sch,Private,423
2019-20,0000_2850,Saint John Paul II School,Private,291
2019-20,0000_3100,Saint Anthony School,Private,1611
2019-20,0000_3160,Saint Vincent Pallotti School,Private,182
2019-20,0000_3410,Saint Catherine School,Private,122
2019-20,0000_3455,Saint Charles Borromeo Cath,Private,231
2019-20,0000_3935,Saint Gregory the Great Parish,Private,222
2019-20,0000_4210,Saint Joan Antida High,Private,145
2019-20,0000_4655,Saint Johns Evang Lutheran Sch,Private,265
2019-20,0000_4950,Saint Josaphat Parish School,Private,185
2019-20,0000_5640,Saint Lucas Lutheran School,Private,182
2019-20,0000_5710,Saint Marcus Lutheran School,Private,923
2019-20,0000_5720,Saint Margaret Mary Grade Sch,Private,133
2019-20,0000_5830,Saint Martini Lutheran Gr Sch,Private,188
2019-20,0000_6690,Saint Matthias School,Private,217
2019-20,0000_7400,Saint Peter Immanuel Luth Sch,Private,105
2019-20,0000_7670,Saint Roman Grade School,Private,321
2019-20,0000_7720,Saint Sebastian Grade School,Private,338
2019-20,0000_7980,Saint Thomas Aquinas Academy,Private,216
2019-20,0000_8075,Salam School,Private,862
2019-20,0000_8080,Salem Lutheran School,Private,174
2019-20,0000_8217,Siloah Lutheran School,Private,90
2019-20,0000_8224,Saint Joseph Academy,Private,472
2019-20,0000_8379,Torah Academy of Milwaukee,Private,32
2019-20,0000_8720,Wisconsin Lutheran High,Private,829
2019-20,0000_8740,Yeshiva Elementary,Private,222
2015-16,NA,NA,Mobile Students,468
2016-17,NA,NA,Mobile Students,616
2017-18,NA,NA,Mobile Students,679
2018-19,NA,NA,Mobile Students,647
2015-16,NA,NA,Open Enrollment,6438
2016-17,NA,NA,Open Enrollment,6120
2017-18,NA,NA,Open Enrollment,5724
2018-19,NA,NA,Open Enrollment,5386
2019-20,NA,NA,Open Enrollment,5417
2015-16,NA,NA,Chapter 220,1266
2016-17,NA,NA,Chapter 220,1038
2017-18,NA,NA,Chapter 220,842
2018-19,NA,NA,Chapter 220,672
2019-20,NA,NA,Chapter 220,536
2016-17,0000_1701,A Promise of Hope Academy,MPCP,64
2016-17,0000_1701,A Promise of Hope Academy,SNSP,NA
2016-17,0000_1652,Academy of Excellence,MPCP,796
2016-17,0000_1652,Academy of Excellence,SNSP,NA
2016-17,0000_1263,"Atlas Preparatory Academy, Inc.",MPCP,693
2016-17,0000_1263,"Atlas Preparatory Academy, Inc.",SNSP,NA
2016-17,0000_1301,Atonement Lutheran School,MPCP,304
2016-17,0000_1301,Atonement Lutheran School,SNSP,NA
2016-17,0000_1115,Beautiful Savior Lutheran School,MPCP,1
2016-17,0000_1115,Beautiful Savior Lutheran School,SNSP,NA
2016-17,0000_1303,Believers in Christ Christian Academy,MPCP,245
2016-17,0000_1303,Believers in Christ Christian Academy,SNSP,NA
2016-17,0000_1304,Blessed Sacrament Catholic School,MPCP,179
2016-17,0000_1304,Blessed Sacrament Catholic School,SNSP,NA
2016-17,0000_1507,Blessed Savior Catholic School,MPCP,579
2016-17,0000_1507,Blessed Savior Catholic School,SNSP,NA
2016-17,0000_1558,"Calvary's Christian Academy, School of the Arts",MPCP,59
2016-17,0000_1558,"Calvary's Christian Academy, School of the Arts",SNSP,NA
2016-17,0000_1382,"Carter's Christian Academy, Inc.",MPCP,276
2016-17,0000_1382,"Carter's Christian Academy, Inc.",SNSP,NA
2016-17,0000_0309,Catholic East Elementary,MPCP,186
2016-17,0000_0309,Catholic East Elementary,SNSP,NA
2016-17,0000_1305,Christ St Peter Lutheran School,MPCP,229
2016-17,0000_1305,Christ St Peter Lutheran School,SNSP,0
2016-17,0000_1384,Christian Faith Academy of Higher Learning,MPCP,102
2016-17,0000_1384,Christian Faith Academy of Higher Learning,SNSP,NA
2016-17,0000_1044,Clara Mohammed School,MPCP,200
2016-17,0000_1044,Clara Mohammed School,SNSP,NA
2016-17,0000_1712,Cristo Rey Jesuit Milwaukee High School,MPCP,220
2016-17,0000_1712,Cristo Rey Jesuit Milwaukee High School,SNSP,NA
2016-17,0000_1489,CrossTrainers Academy,MPCP,263
2016-17,0000_1489,CrossTrainers Academy,SNSP,NA
2016-17,0000_1491,Destiny High School,MPCP,285
2016-17,0000_1491,Destiny High School,SNSP,NA
2016-17,0000_1702,Divine Destiny School,MPCP,153
2016-17,0000_1702,Divine Destiny School,SNSP,NA
2016-17,0000_7870,Divine Mercy School,MPCP,28
2016-17,0000_7870,Divine Mercy School,SNSP,NA
2016-17,0000_0510,Divine Savior Holy Angels High School,MPCP,95
2016-17,0000_0510,Divine Savior Holy Angels High School,SNSP,NA
2016-17,0000_0530,Dominican High School,MPCP,117
2016-17,0000_0530,Dominican High School,SNSP,NA
2016-17,0000_1158,Early View Academy of Excellence,MPCP,272
2016-17,0000_1158,Early View Academy of Excellence,SNSP,NA
2016-17,0000_1218,Eastbrook Academy,MPCP,207
2016-17,0000_1218,Eastbrook Academy,SNSP,NA
2016-17,0000_0600,Elm Grove Lutheran School,MPCP,33
2016-17,0000_0600,Elm Grove Lutheran School,SNSP,NA
2016-17,0000_0690,First Immanuel Lutheran School,MPCP,5
2016-17,0000_0690,First Immanuel Lutheran School,SNSP,NA
2016-17,0000_0740,Garden Homes Lutheran School,MPCP,251
2016-17,0000_0740,Garden Homes Lutheran School,SNSP,NA
2016-17,0000_0790,Good Shepherd's Lutheran School - West Allis,MPCP,31
2016-17,0000_0790,Good Shepherd's Lutheran School - West Allis,SNSP,NA
2016-17,0000_1088,Grace Christian Academy,MPCP,172
2016-17,0000_1088,Grace Christian Academy,SNSP,NA
2016-17,0000_0818,Grace Lutheran School,MPCP,49
2016-17,0000_0818,Grace Lutheran School,SNSP,NA
2016-17,0000_1165,Granville Lutheran School,MPCP,237
2016-17,0000_1165,Granville Lutheran School,SNSP,2
2016-17,0000_1345,Greater Holy Temple Christian Academy,MPCP,691
2016-17,0000_1345,Greater Holy Temple Christian Academy,SNSP,NA
2016-17,0000_0840,Hales Corners Lutheran School,MPCP,48
2016-17,0000_0840,Hales Corners Lutheran School,SNSP,NA
2016-17,0000_0848,Heritage Christian Schools,MPCP,194
2016-17,0000_0848,Heritage Christian Schools,SNSP,3
2016-17,0000_1101,Hickman Academy Preparatory School,MPCP,276
2016-17,0000_1101,Hickman Academy Preparatory School,SNSP,NA
2016-17,0000_0856,Hillel Academy,MPCP,64
2016-17,0000_0856,Hillel Academy,SNSP,NA
2016-17,0000_1180,Holy Redeemer Christian Academy,MPCP,398
2016-17,0000_1180,Holy Redeemer Christian Academy,SNSP,NA
2016-17,0000_2850,Holy Wisdom Academy,MPCP,242
2016-17,0000_2850,Holy Wisdom Academy,SNSP,NA
2016-17,0000_1408,Hope Christian High School,MPCP,305
2016-17,0000_1408,Hope Christian High School,SNSP,NA
2016-17,0000_1703,Hope Christian School: Caritas,MPCP,238
2016-17,0000_1703,Hope Christian School: Caritas,SNSP,NA
2016-17,0000_1729,Hope Christian School: Fidelis,MPCP,196
2016-17,0000_1729,Hope Christian School: Fidelis,SNSP,NA
2016-17,0000_1439,Hope Christian School: Fortis,MPCP,490
2016-17,0000_1439,Hope Christian School: Fortis,SNSP,NA
2016-17,0000_1315,Hope Christian School: Prima,MPCP,572
2016-17,0000_1315,Hope Christian School: Prima,SNSP,NA
2016-17,0000_1656,Hope Christian School: Semper,MPCP,384
2016-17,0000_1656,Hope Christian School: Semper,SNSP,NA
2016-17,0000_1568,Immanuel Lutheran School - Brookfield,MPCP,120
2016-17,0000_1568,Immanuel Lutheran School - Brookfield,SNSP,2
2016-17,0000_1527,Institute of Technology and Academics,MPCP,259
2016-17,0000_1527,Institute of Technology and Academics,SNSP,NA
2016-17,0000_1684,Jo's Learning Academy,MPCP,53
2016-17,0000_1684,Jo's Learning Academy,SNSP,NA
2016-17,0000_1630,Kettle Moraine Lutheran High School,MPCP,9
2016-17,0000_1630,Kettle Moraine Lutheran High School,SNSP,NA
2016-17,0000_1221,"King's Academy, Inc",MPCP,201
